Name,Type,Current,Community
Accohanock,King's house,,Accohannock
Accowmack,King's house,,Accomack
Wighcocomoco,King's house,Pocomoke City,Pocomoke
Nause,Ordinary house,,Nanticoke
Kuskarawaok,Ordinary house,<Null>,Nanticoke
Nantaquack,Ordinary house,Vienna,Nanticoke
Ozinies,King's house,Rock Hall,Ozinies
Tockwogh,King's house,Kentmore Park,Tockwogh
Attaock,King's house,York,Susquehannock
Quadroque,King's house,Middletown,Susquehannock
Tesinigh,King's house,Lebanon,Susquehannock
Utchowig,King's house,Carlisle,Susquehannock
Sasquesahanough,King's house,Fort Deposit,Susquehannock
Cepowig,King's house,Westminster,Susquehannock
Chesapeack,King's house,Norfolk,Chesapeake
Nandsamund,King's house,,Nansemond
Mattanock,Ordinary house,,Nansemond
Mantoughquemed,Ordinary house,Nansemond,Nansemond
Teracosick,Ordinary house,Suffolk,Nansemond
Kecouahtan,King's house,Hampton,Kecoughtan
Mokete,Ordinary house,,Warraskoyak
Mathomauk,Ordinary house,,Warraskoyak
Warraskoyack,King's house,Smithfield,Warraskoyak
Nantapoyac,Ordinary house,Pipsico Reservation,Quiyoughcohannock
Mattapamient,Ordinary house,,Mattaponi
Quiyoughcohannock,King's house,Claremont,Quiyoughcohannock
Chawopo,Ordinary house,,Quiyoughcohannock
Paspahegh,King's house,Charles City,Paspahegh
Moysonec,Ordinary house,,Paspahegh
Werewahon,Ordinary house,Chickahominy Haven,Paspahegh
Ozenick,Ordinary house,,Paspahegh
Menascosic,Ordinary house,,Chickahominy
Askakep,Ordinary house,,Paspahegh
Mamanahunt,Ordinary house,,Paspahegh
Weanock,King's house,,Weyanok
Appamatuck,King's house,,Appamatuck
Arrohateck,King's house,,Arohattoc
Powhatan,King's house,Richmond,Powhatan
Mowhemcho,Ordinary house,,Monacan
Massinacack,King's house,,Monacan
Monasukapanough,King's house,,Monacan
Rassawek,King's house,,Monacan
Monahassanugh,King's house,Wingina,Monacan
Kiskiack,King's house,Cheatham naval base,Kiskiack
Capahowasick,Ordinary house,Capahosic,Werowocomoco
Cantauncack,Ordinary house,Shelly,Werowocomoco
Werowocomoco,King's house,,Werowocomoco
Mamanassy,Ordinary house,,Werowocomoco
Pasaughtacock,Ordinary house,,Werowocomoco
Poruptanck,Ordinary house,,Werowocomoco
Mattacock,Ordinary house,,Werowocomoco
Parankatank,King's house,Piankatank shores,Parankatank
Opiscopank,King's house,Water View,Opiscopank
Matchutt,Ordinary house,,Mattaponi
Muttamussinsack,Ordinary house,,Mattaponi
Quackcohowaon,Ordinary house,Mattaponi Indian Reservation,Mattaponi
Martoughquaunk,Ordinary house,,Mattaponi
Myghtuckpassu,Ordinary house,,Mattaponi
Utcustank,Ordinary house,,Mattaponi
Passaunkack,Ordinary house,,Mattaponi
Cinquoteck,King's house,West Point,Pamunkey
Menapucunt,King's house,,Pamunkey
Uttamussak,King's house,,Pamunkey
Kupkipcock,King's house,,Pamunkey
Accossuwinck,Ordinary house,,Pamunkey
Pammcoroy,Ordinary house,,Pamunkey
Matchut,Ordinary house,Eltham,Pamunkey
Acconoc,Ordinary house,,Pamunkey
Potaucac,Ordinary house,,Pamunkey
Attamtuck,Ordinary house,,Pamunkey
Cattachiptico,Ordinary house,,Pamunkey
Paspahegh,Ordinary house,,Paspahegh
Righkahauk,Ordinary house,,Chickahominy
Nechanicok,Ordinary house,,Chickahominy
Appocant,Ordinary house,,Chickahominy
Orapaks,King's house,,Chickahominy
Opament,Ordinary house,Sollers,Pawtaxunt
Pawtuxunt,King's house,<Null>,Pawtaxunt
Onuatuck,Ordinary house,,Pawtaxunt
Quomocac,Ordinary house,Jefferson Patterson Park,Pawtaxunt
Wascocup,Ordinary house,,Pawtaxunt
Tauskus,Ordinary house,,Pawtaxunt
Wepanawomen,Ordinary house,,Pawtaxunt
Quactatough,Ordinary house,,Pawtaxunt
Mattapment,Ordinary house,,Pawtaxunt
Wesauneus,Ordinary house,,Pawtaxunt
Quetough,Ordinary house,,Pawtaxunt
Pocatamough,Ordinary house,,Pawtaxunt
Macocanaco,Ordinary house,,Pawtaxunt
Wasapokent,Ordinary house,,Pawtaxunt
Acquintanacsuck,King's house,,Pawtaxunt
Wasinacus,Ordinary house,Hollywood Shores,Pawtaxunt
Acquaskack,Ordinary house,Golden Beach,Pawtaxunt
Wighcocomoco,King's house,Burgess,Wicocomico
Cinquack,Ordinary house,Kilmarrock,Wicocomico
Cekakawwon,King's house,,Sekakawon
Monanauk,Ordinary house,,Chaptico
Cecomocomoco,King's house,Chaptico,Chaptico
Onawinament,King's house,Hinnom,Onawinament
Ozaiawomen,Ordinary house,Dahlgren lab,Ozaiawomen
Potapaco,Ordinary house,Port Tobacco Village,Potapaco
Nushemouck,Ordinary house,Cedar Point Wildlife Management Area,Piscataway
Mataughquamend,Ordinary house,Doncaster Demonstration State Forest,Piscataway
Nussamek,Ordinary house,Liverpool,Piscataway
Patawomeck,King's house,Potomac Mills,Patawomeck
Quiyough,Ordinary house,,Piscataway
Pamacocack,Ordinary house,Dumfries,Piscataway
Pamacocack,Ordinary house,Mattawoman Natural Environment Area,Piscataway
Cinquaoteck,Ordinary house,Chapman State Park,Piscataway
Tauxenent,King's house,Fort Belvoir,Piscataway
Moyaons,King's house,Piscataway,Piscataway
Tessamatuck,Ordinary house,Accokeek,Piscataway
Nacotchtanck,King's house,Anacostia,Nacotchtank
Namoraughquend,Ordinary house,Arlington,Nacotchtank
Assaomeck,Ordinary house,Belle Haven,Piscataway
Namassingakent,Ordinary house,Mount Vernon,Piscataway
Cuttatawomen,King's house,White Stone,Cuttatawomen
Pawcocomocac,Ordinary house,Belle Isle State Park,Moraughtacund
Chesakawon,Ordinary house,Weems,Powhatan
Ottachugh,Ordinary house,Senora,Powhatan
Kapawnich,Ordinary house,Momaskon,Powhatan
Nepawtacum,Ordinary house,,Moraughtacund
Moraughtacund,King's house,Morattico / Oakley Landing,Moraughtacund
Accoqueck,Ordinary house,Maryton,Powhatan
Massawoteck,Ordinary house,,Powhatan
Secobeck,Ordinary house,Moss Neck,Nandtanghtacund
Secobeck,Ordinary house,Hopyard Farms,Nandtanghtacund
Cuttatawomen,King's house,,Cuttatawomen
Kerahocak,Ordinary house,,Cuttatawomen
Anrenapeugh,Ordinary house,,Nandtanghtacund
Nandtanghtacund,King's house,,Nandtanghtacund
Waconiask,Ordinary house,Berry Plains Landing,Nandtanghtacund
Anaskenoans,Ordinary house,Haymount,Nandtanghtacund
Checopissowo,Ordinary house,Hazelwood,Nandtanghtacund
Monanask,Ordinary house,Cleve Marsh,Nandtanghtacund
Papiscone,Ordinary house,Port Royal,Cuttatawomen
Assuweska,Ordinary house,Milbank,Cuttatawomen
Pissaceck,King's house,Wilmot,Pissaceck
Nawacaten,Ordinary house,Leesville,Pissaceck
Mangoraca,Ordinary house,,Pissaceck
Winsack,Ordinary house,Rappahannock River Valley National Wildlife Refuge,Rappahannock
Acquack,Ordinary house,,Rappahannock
Cawwontoll,Ordinary house,Rappanahannock River Valley National Wildlife Refuge,Rappahannock
Wecuppom,Ordinary house,Peedee Creek,Pissaceck
Matchopick,Ordinary house,,Pissaceck
Pissacoack,Ordinary house,,Pissaceck
Tantacquask,Ordinary house,Mangorite Marsh,Rappahannock
Poykemkack,Ordinary house,Mangorite Marsh,Rappahannock
Nawncutough,Ordinary house,,Rappahannock
Toppahanock,King's house,,Rappahannock
Poyektank,Ordinary house,Welford,Rappahannock
Menaskunt,Ordinary house,Folly Neck,Rappahannock
Auhomesk,Ordinary house,Tidewater,Moraughtacund
Oquomock,Ordinary house,,Moraughtacund
Powcomonet,Ordinary house,Simons Corner,Moraughtacund
Mahaskahod,Ordinary house,Fredericksburg,Manahoac
Shackaconia,King's house,Dunavant,Manahoac
Stegara,King's house,,Manahoac
Hassniuga,King's house,,Manahoac
Tanxsnitania,King's house,C. F. Phelps,Manahoac